user_id,password,user_type,student_id,faculty_id
100,password100,student,112201001,
101,password101,student,112201002,
102,password102,student,112201003,
103,password103,student,112201004,
104,password104,student,112201005,
105,password105,student,112201006,
106,password106,student,112201007,
107,password107,student,112201008,
108,password108,student,112201009,
109,password109,student,112201010,
110,password110,student,112201011,
111,password111,student,112201012,
112,password112,student,112201013,
113,password113,student,112201014,
114,password114,student,112201015,
115,password115,student,112201016,
116,password116,student,112201017,
117,password117,student,112201018,
118,password118,student,112201019,
119,password119,student,112201020,
120,password120,student,112201021,
121,password121,student,112201022,
122,password122,student,112201023,
123,password123,student,112201024,
124,password124,student,112201025,
125,password125,student,112301001,
126,password126,student,112301002,
127,password127,student,112301003,
128,password128,student,112301004,
129,password129,student,112301005,
130,password130,student,112301006,
131,password131,student,112301007,
132,password132,student,112301008,
133,password133,student,112301009,
134,password134,student,112301010,
135,password135,student,112301011,
136,password136,student,112301012,
137,password137,student,112301013,
138,password138,student,112301014,
139,password139,student,112301015,
140,password140,student,112301016,
141,password141,student,112301017,
142,password142,student,112301018,
143,password143,student,112301019,
144,password144,student,112301020,
145,password145,student,112301021,
146,password146,student,112301022,
147,password147,student,112301023,
148,password148,student,112301024,
149,password149,student,112301025,
150,password150,student,112401001,
151,password151,student,112401002,
152,password152,student,112401003,
153,password153,student,112401004,
154,password154,student,112401005,
155,password155,student,112401006,
156,password156,student,112401007,
157,password157,student,112401008,
158,password158,student,112401009,
159,password159,student,112401010,
160,password160,student,112401011,
161,password161,student,112401012,
162,password162,student,112401013,
163,password163,student,112401014,
164,password164,student,112401015,
165,password165,student,112401016,
166,password166,student,112401017,
167,password167,student,112401018,
168,password168,student,112401019,
169,password169,student,112401020,
170,password170,student,112401021,
171,password171,student,112401022,
172,password172,student,112401023,
173,password173,student,112401024,
174,password174,student,112401025,
175,password175,student,112501001,
176,password176,student,112501002,
177,password177,student,112501003,
178,password178,student,112501004,
179,password179,student,112501005,
180,password180,student,112501006,
181,password181,student,112501007,
182,password182,student,112501008,
183,password183,student,112501009,
184,password184,student,112501010,
185,password185,student,112501011,
186,password186,student,112501012,
187,password187,student,112501013,
188,password188,student,112501014,
189,password189,student,112501015,
190,password190,student,112501016,
191,password191,student,112501017,
192,password192,student,112501018,
193,password193,student,112501019,
194,password194,student,112501020,
195,password195,student,112501021,
196,password196,student,112501022,
197,password197,student,112501023,
198,password198,student,112501024,
199,password199,student,112501025,
200,password200,student,102201001,
201,password201,student,102201002,
202,password202,student,102201003,
203,password203,student,102201004,
204,password204,student,102201005,
205,password205,student,102201006,
206,password206,student,102201007,
207,password207,student,102201008,
208,password208,student,102201009,
209,password209,student,102201010,
210,password210,student,102201011,
211,password211,student,102201012,
212,password212,student,102201013,
213,password213,student,102201014,
214,password214,student,102201015,
215,password215,student,102201016,
216,password216,student,102201017,
217,password217,student,102201018,
218,password218,student,102201019,
219,password219,student,102201020,
220,password220,student,102201021,
221,password221,student,102201022,
222,password222,student,102201023,
223,password223,student,102201024,
224,password224,student,102201025,
225,password225,student,102301001,
226,password226,student,102301002,
227,password227,student,102301003,
228,password228,student,102301004,
229,password229,student,102301005,
230,password230,student,102301006,
231,password231,student,102301007,
232,password232,student,102301008,
233,password233,student,102301009,
234,password234,student,102301010,
235,password235,student,102301011,
236,password236,student,102301012,
237,password237,student,102301013,
238,password238,student,102301014,
239,password239,student,102301015,
240,password240,student,102301016,
241,password241,student,102301017,
242,password242,student,102301018,
243,password243,student,102301019,
244,password244,student,102301020,
245,password245,student,102301021,
246,password246,student,102301022,
247,password247,student,102301023,
248,password248,student,102301024,
249,password249,student,102301025,
250,password250,student,102401001,
251,password251,student,102401002,
252,password252,student,102401003,
253,password253,student,102401004,
254,password254,student,102401005,
255,password255,student,102401006,
256,password256,student,102401007,
257,password257,student,102401008,
258,password258,student,102401009,
259,password259,student,102401010,
260,password260,student,102401011,
261,password261,student,102401012,
262,password262,student,102401013,
263,password263,student,102401014,
264,password264,student,102401015,
265,password265,student,102401016,
266,password266,student,102401017,
267,password267,student,102401018,
268,password268,student,102401019,
269,password269,student,102401020,
270,password270,student,102401021,
271,password271,student,102401022,
272,password272,student,102401023,
273,password273,student,102401024,
274,password274,student,102401025,
275,password275,student,102501001,
276,password276,student,102501002,
277,password277,student,102501003,
278,password278,student,102501004,
279,password279,student,102501005,
280,password280,student,102501006,
281,password281,student,102501007,
282,password282,student,102501008,
283,password283,student,102501009,
284,password284,student,102501010,
285,password285,student,102501011,
286,password286,student,102501012,
287,password287,student,102501013,
288,password288,student,102501014,
289,password289,student,102501015,
290,password290,student,102501016,
291,password291,student,102501017,
292,password292,student,102501018,
293,password293,student,102501019,
294,password294,student,102501020,
295,password295,student,102501021,
296,password296,student,102501022,
297,password297,student,102501023,
298,password298,student,102501024,
299,password299,student,102501025,
300,password300,student,122201001,
301,password301,student,122201002,
302,password302,student,122201003,
303,password303,student,122201004,
304,password304,student,122201005,
305,password305,student,122201006,
306,password306,student,122201007,
307,password307,student,122201008,
308,password308,student,122201009,
309,password309,student,122201010,
310,password310,student,122201011,
311,password311,student,122201012,
312,password312,student,122201013,
313,password313,student,122201014,
314,password314,student,122201015,
315,password315,student,122201016,
316,password316,student,122201017,
317,password317,student,122201018,
318,password318,student,122201019,
319,password319,student,122201020,
320,password320,student,122201021,
321,password321,student,122201022,
322,password322,student,122201023,
323,password323,student,122201024,
324,password324,student,122201025,
325,password325,student,122301001,
326,password326,student,122301002,
327,password327,student,122301003,
328,password328,student,122301004,
329,password329,student,122301005,
330,password330,student,122301006,
331,password331,student,122301007,
332,password332,student,122301008,
333,password333,student,122301009,
334,password334,student,122301010,
335,password335,student,122301011,
336,password336,student,122301012,
337,password337,student,122301013,
338,password338,student,122301014,
339,password339,student,122301015,
340,password340,student,122301016,
341,password341,student,122301017,
342,password342,student,122301018,
343,password343,student,122301019,
344,password344,student,122301020,
345,password345,student,122301021,
346,password346,student,122301022,
347,password347,student,122301023,
348,password348,student,122301024,
349,password349,student,122301025,
350,password350,student,122401001,
351,password351,student,122401002,
352,password352,student,122401003,
353,password353,student,122401004,
354,password354,student,122401005,
355,password355,student,122401006,
356,password356,student,122401007,
357,password357,student,122401008,
358,password358,student,122401009,
359,password359,student,122401010,
360,password360,student,122401011,
361,password361,student,122401012,
362,password362,student,122401013,
363,password363,student,122401014,
364,password364,student,122401015,
365,password365,student,122401016,
366,password366,student,122401017,
367,password367,student,122401018,
368,password368,student,122401019,
369,password369,student,122401020,
370,password370,student,122401021,
371,password371,student,122401022,
372,password372,student,122401023,
373,password373,student,122401024,
374,password374,student,122401025,
375,password375,student,122501001,
376,password376,student,122501002,
377,password377,student,122501003,
378,password378,student,122501004,
379,password379,student,122501005,
380,password380,student,122501006,
381,password381,student,122501007,
382,password382,student,122501008,
383,password383,student,122501009,
384,password384,student,122501010,
385,password385,student,122501011,
386,password386,student,122501012,
387,password387,student,122501013,
388,password388,student,122501014,
389,password389,student,122501015,
390,password390,student,122501016,
391,password391,student,122501017,
392,password392,student,122501018,
393,password393,student,122501019,
